0.5646411602900725 2258
Index,Python,TestBench
789,10000001,01111111

790,10110101,01000011

791,01000011,10110101

792,10101001,10101101

793,10101101,10101001

794,01111111,10000001

795,00110101,10010101

796,10010101,00110101

797,10000001,01111111

798,10101011,01011101

799,01011101,10101011

800,01111111,10000001

801,01011101,10101011

802,10101011,01011101

803,10000001,01111111

804,10010101,00110101

805,00110101,10010101

806,01111111,10000001

807,00110111,10011011

808,10011011,00110111

809,10000001,01111111

810,10011011,00110111

811,00110111,10011011

812,01111111,10000001

813,00110111,10011011

814,10011011,00110111

815,10000001,01111111

816,10011101,00111101

817,00111101,10011101

818,10011111,10001001

819,10001001,10011111

820,10001001,10011111

821,10011111,10001001

822,01111111,10000001

823,00111101,10011101

824,10011101,00111101

825,10000001,01111111

826,10011011,00110111

827,00110111,10011011

828,10101101,10101001

829,10101001,10101101

830,01111111,10000001

831,01000011,10110101

832,10110101,01000011

833,01100101,01110011

834,01110011,01100101

835,10000101,10000001

836,10000001,10000101

837,10000001,10000101

838,10000101,10000001

839,01110001,01011111

840,01011111,01110001

841,10000001,01111111

842,11000101,01101001

843,01101001,11000101

844,01111111,10000001

845,01010111,10101001

846,10101001,01010111

847,10000001,01111111

848,10010101,00110101

849,00110101,10010101

850,01111111,10000001

851,00110101,10010101

852,10010101,00110101

853,10000001,01111111

854,10101011,01011101

855,01011101,10101011

856,01111111,10000001

857,01011101,10101011

858,10101011,01011101

859,10000001,01111111

860,10010111,00111011

861,00111011,10010111

862,10100001,10001111

863,10001111,10100001

864,01111011,01111111

865,01111111,01111011

866,01111111,01111011

867,01111011,01111111

868,10001111,10100001

869,10100001,10001111

870,01111111,10000001

871,00111011,10010111

872,10010111,00111011

873,10000001,01111111

874,10101011,01011101

875,01011101,10101011

876,01111111,10000001

877,01011011,10100101

878,10100101,01011011

879,10000001,01111111

880,10100101,01011011

881,01011011,10100101

882,01111111,10000001

883,01011011,10100101

884,10100101,01011011

885,10000001,01111111

886,10100101,01011011

887,01011011,10100101

888,01111111,10000001

889,01011011,10100101

890,10100101,01011011

891,10000001,01111111

892,10100011,01010101

893,01010101,10100011

894,01111111,10000001

895,01101001,11000101

896,11000101,01101001

897,01011111,01110001

898,01110001,01011111

899,10000101,10000001

900,10000001,10000101

901,10000001,10000101

902,10000101,10000001

903,01110001,01011111

904,01011111,01110001

905,10000001,01111111

906,11000101,01101001

907,01101001,11000101

908,01111111,10000001

909,01010101,10100011

910,10100011,01010101

911,10000001,01111111

912,10100011,01010101

913,01010101,10100011

914,01111111,10000001

915,01101011,11001011

916,11001011,01101011

917,10000001,01111111

918,11001011,01101011

919,01101011,11001011

920,01111111,10000001

921,01010101,10100011

922,10100011,01010101

923,10000001,01111111

924,10100101,01011011

925,01011011,10100101

926,01111111,10000001

927,01011101,10101011

928,10101011,01011101

929,10000001,01111111

930,10010111,00111011

931,00111011,10010111

932,10100001,10001111

933,10001111,10100001

934,10001101,10011011

935,10011011,10001101

936,01111111,10000001

937,01001011,10111101

938,10111101,01001011

939,01010111,01010011

940,01010011,01010111

941,10000001,01111111

942,11001011,01101011

943,01101011,11001011

944,01111111,10000001

945,01010111,10101001

946,10101001,01010111

947,10000001,01111111

948,10010111,00111011

949,00111011,10010111

950,10011111,10001001

951,10001001,10011111

952,10001001,10011111

953,10011111,10001001

954,01111111,10000001

955,00111101,10011101

956,10011101,00111101

957,10000001,01111111

958,10011101,00111101

959,00111101,10011101

960,10011111,10001001

961,10001001,10011111

962,10000111,10011001

963,10011001,10000111

964,01111111,10000001

965,01001001,10110111

966,10110111,01001001

967,01100101,01110011

968,01110011,01100101

969,10000101,10000001

970,10000001,10000101

971,10000001,10000101

972,10000101,10000001

973,01110011,01100101

974,01100101,01110011

975,10000001,01111111

976,10110111,01001001

977,01001001,10110111

978,10011001,10000111

979,10000111,10011001

980,10000111,10011001

981,10011001,10000111

982,01111111,10000001

983,01001011,10111101

984,10111101,01001011

985,10000001,01111111

986,10111101,01001011

987,01001011,10111101

988,10011001,10000111

989,10000111,10011001

990,10001001,10011111

991,10011111,10001001

992,01111111,10000001

993,00111011,10010111

994,10010111,00111011

995,10000001,01111111

996,10101001,01010111

997,01010111,10101001

998,01111111,10000001

999,01101011,11001011

1000,11001011,01101011

1001,10000001,01111111

1002,11001001,01100101

1003,01100101,11001001

1004,01111111,10000001

1005,01100101,11001001

1006,11001001,01100101

1007,01010011,01010111

1008,01010111,01010011

1009,10000001,01111111

1010,10111101,01001011

1011,01001011,10111101

1012,10011011,10001101

1013,10001101,10011011

1014,10001111,10100001

1015,10100001,10001111

1016,01111111,10000001

1017,00111011,10010111

1018,10010111,00111011

1019,10000001,01111111

1020,10101011,01011101

1021,01011101,10101011

1022,01111111,10000001

1023,01011101,10101011

1024,10101011,01011101

1025,10000001,01111111

1026,10010111,00111011

1027,00111011,10010111

1028,10011111,10001001

1029,10001001,10011111

1030,10001001,10011111

1031,10011111,10001001

1032,01111111,10000001

1033,00111011,10010111

1034,10010111,00111011

1035,10000001,01111111

1036,10101011,01011101

1037,01011101,10101011

1038,01111111,10000001

1039,01011011,10100101

1040,10100101,01011011

1041,10000001,01111111

1042,10100011,01010101

1043,01010101,10100011

1044,01111111,10000001

1045,01101001,11000101

1046,11000101,01101001

1047,01100001,01110111

