0.5643910977744436 2257
Index,Python,TestBench
789,10011111,10001001

790,01111111,10000001

791,00111101,10011101

792,10011101,00111101

793,10000001,01111111

794,10011101,00111101

795,00111101,10011101

796,10100001,10001111

797,10001111,10100001

798,10001101,10011011

799,10011011,10001101

800,01111111,10000001

801,01001001,10110111

802,10110111,01001001

803,01100101,01110011

804,01110011,01100101

805,01110011,01100101

806,01100101,01110011

807,10000001,01111111

808,10110111,01001001

809,01001001,10110111

810,10011011,10001101

811,10001101,10011011

812,01111011,01111111

813,01111111,01111011

814,01111111,01111011

815,01111011,01111111

816,10001101,10011011

817,10011011,10001101

818,01111111,10000001

819,01001001,10110111

820,10110111,01001001

821,01100101,01110011

822,01110011,01100101

823,10000101,10000001

824,10000001,10000101

825,10000001,10000101

826,10000101,10000001

827,01110011,01100101

828,01100101,01110011

829,10000001,01111111

830,10110111,01001001

831,01001001,10110111

832,10011011,10001101

833,10001101,10011011

834,10001111,10100001

835,10100001,10001111

836,01111111,10000001

837,00111101,10011101

838,10011101,00111101

839,10000001,01111111

840,10011101,00111101

841,00111101,10011101

842,10100001,10001111

843,10001111,10100001

844,01111011,01111111

845,01111111,01111011

846,01111111,01111011

847,01111011,01111111

848,10001101,10011011

849,10011011,10001101

850,01111111,10000001

851,01001001,10110111

852,10110111,01001001

853,01100111,01111001

854,01111001,01100111

855,01110111,01100001

856,01100001,01110111

857,10000001,01111111

858,11000101,01101001

859,01101001,11000101

860,01111111,10000001

861,01010111,10101001

862,10101001,01010111

863,10000001,01111111

864,10010111,00111011

865,00111011,10010111

866,10011111,10001001

867,10001001,10011111

868,10000111,10011001

869,10011001,10000111

870,01111111,10000001

871,01001011,10111101

872,10111101,01001011

873,10000001,01111111

874,10111011,01000101

875,01000101,10111011

876,01111111,10000001

877,01000101,10111011

878,10111011,01000101

879,01010111,01010011

880,01010011,01010111

881,10000001,01111111

882,11001001,01100101

883,01100101,11001001

884,01111111,10000001

885,01100011,11000011

886,11000011,01100011

887,01011111,01110001

888,01110001,01011111

889,10000101,10000001

890,10000001,10000101

891,10000001,10000101

892,10000101,10000001

893,01110001,01011111

894,01011111,01110001

895,10000001,01111111

896,11000011,01100011

897,01100011,11000011

898,01111111,10000001

899,01100101,11001001

900,11001001,01100101

901,10000001,01111111

902,11001011,01101011

903,01101011,11001011

904,01111111,10000001

905,01010101,10100011

906,10100011,01010101

907,10000001,01111111

908,10100011,01010101

909,01010101,10100011

910,01111111,10000001

911,01101011,11001011

912,11001011,01101011

913,01010011,01010111

914,01010111,01010011

915,10000001,01111111

916,10111101,01001011

917,01001011,10111101

918,10011001,10000111

919,10000111,10011001

920,10001001,10011111

921,10011111,10001001

922,01111111,10000001

923,00111101,10011101

924,10011101,00111101

925,10000001,01111111

926,10011011,00110111

927,00110111,10011011

928,01111111,10000001

929,00110101,10010101

930,10010101,00110101

931,10000001,01111111

932,10101001,01010111

933,01010111,10101001

934,01111111,10000001

935,01101001,11000101

936,11000101,01101001

937,01100001,01110111

938,01110111,01100001

939,01111001,01100111

940,01100111,01111001

941,10000001,01111111

942,10110111,01001001

943,01001001,10110111

944,10011011,10001101

945,10001101,10011011

946,10001101,10011011

947,10011011,10001101

948,01111111,10000001

949,01001011,10111101

950,10111101,01001011

951,10000001,01111111

952,10111101,01001011

953,01001011,10111101

954,10011011,10001101

955,10001101,10011011

956,01111011,01111111

957,01111111,01111011

958,01111111,01111011

959,01111011,01111111

960,10001101,10011011

961,10011011,10001101

962,01111111,10000001

963,01001011,10111101

964,10111101,01001011

965,10000001,01111111

966,10111011,01000101

967,01000101,10111011

968,10101001,10101101

969,10101101,10101001

970,01111111,10000001

971,00110111,10011011

972,10011011,00110111

973,10000001,01111111

974,10011011,00110111

975,00110111,10011011

